Cumpărare produse pentru client,2024-05-28 22:43:42
Cumpărare produse pentru client,2024-05-28 22:47:33
Achizitie produse de la furnizor,2024-05-28 23:17:44
Afisare inventar,2024-05-28 23:17:49
Afisare inventar,2024-05-28 23:17:56
Afisare stoc produse in functie de id,2024-05-28 23:18:04
Afisare casier in functie de vanzare,2024-05-28 23:18:12
Afisare casier in functie de vanzare,2024-05-28 23:18:24
Afisare detalii pentru vanzare,2024-05-28 23:18:33
Afisare produse cu stoc mai mic de 50,2024-05-28 23:18:47
